"num.claims" "av.claimsize"
"4" 2 0.725
"14" 2 0.247715
"15" 1 0.55979
"22" 1 4.17301
"26" 1 0.3
"32" 1 6.20473
"44" 1 0.73662
"47" 1 0.06259
"58" 1 1.87995
"68" 1 1.35
"75" 1 0.15953
"92" 1 0.46841
"93" 2 0.16378
"107" 1 1.00575
"112" 2 0.82998
"113" 2 4.549395
"120" 4 0.1175
"122" 1 2.85
"125" 1 1.82338
"129" 1 0.27599
"134" 2 1.28744
"138" 1 0.08
"143" 1 0.49545
"146" 1 1.51047
"157" 1 0.16017
"169" 1 0.46192
"196" 1 0.28709
"201" 1 0.44724
"202" 1 0.77348
"210" 1 1.83708
"221" 1 2.43912
"238" 1 3
"243" 1 0.28059
"244" 1 0.37866
"250" 1 3.77559
"255" 1 10
"256" 2 1.77157
"264" 2 4.25768
"270" 1 0.61849
"279" 1 5.50915
"283" 1 0.23252
"284" 3 2.35971
"285" 1 3.76914
"305" 1 0.15509
"306" 3 0.15166
"310" 1 0.25
"312" 2 1.593495
"313" 1 1
"316" 1 0.12555
"325" 1 0.86109
"328" 1 0.04958
"334" 1 0.11345
"337" 2 2.092155
"344" 1 4.30389
"348" 3 0.625906666666667
"356" 1 1.02968
"363" 1 0.81455
"364" 1 0.66883
"372" 1 0.39376
"376" 2 2.437605
"377" 1 4.56793
"386" 1 1.59623
"388" 2 1.705
"392" 2 0.026025
"400" 1 1.78026
"405" 1 0.01869
"419" 1 1.84073
"462" 1 1.55
"471" 2 3.66821
"472" 2 0.2544
"476" 1 2.05
"484" 1 2.11463
"524" 1 2.97619
"533" 1 0.36517
"546" 1 5
"555" 1 1.36336
"556" 1 1.5
"563" 1 0.95108
"564" 1 0.39018
"575" 1 0.09338
"586" 1 1.08885
"608" 1 2.74628
"611" 2 2.330065
"612" 2 1.386375
"613" 1 4.65
"623" 1 2.75
"628" 1 0.23366
"635" 1 0.70285
"648" 1 0.89437
"656" 1 2.59267
"676" 1 0.2378
"677" 1 0.68785
"678" 1 6.59229
"682" 1 0.80503
"690" 1 0.80084
"696" 1 1.55624
"737" 2 2.16886
"739" 1 0.56576
"743" 1 0.15
"746" 2 0.30013
"755" 3 2.33762
"762" 1 0.15198
"765" 1 1.07126
"766" 1 2.99075
"793" 1 0.08344
"802" 1 0.15
"819" 3 1.65641333333333
"833" 1 2.85
"842" 1 0.16241
"852" 1 2.37767
"865" 1 2.8
"881" 2 0.13811
"884" 2 0.538255
"895" 1 0.63406
"899" 1 0.2871
"922" 1 0.6469
"923" 3 0.0745066666666667
"934" 1 0.27543
"958" 2 1.006075
"962" 2 3.56714
"963" 1 6.18734
"965" 1 8.85
"966" 5 1.11891
"974" 1 5.82695
"980" 2 0.3287
"981" 1 5.95
"982" 4 4.0252375
"985" 1 3.60179
"988" 2 0.238865
"989" 1 2.1968
"993" 1 4.825
"994" 3 0.389783333333333
"996" 2 2.361765
"999" 1 0.62411
"1004" 2 1.57695
"1005" 2 1.653365
"1007" 2 1.38225
"1012" 2 2.64252
"1016" 2 0.049965
"1019" 1 5.53694
"1021" 2 0.487575
"1022" 2 0.69192
"1025" 2 2.046375
"1026" 2 1.24803
"1031" 3 2.42626333333333
"1034" 1 2.01598
"1038" 1 0.17081
"1039" 1 0.26088
"1043" 1 4.5
"1053" 1 0.15
"1058" 1 1.13
"1059" 1 6.94805
"1068" 3 1.9516
"1073" 1 0.34268
"1074" 1 4.277
"1079" 1 0.52478
"1080" 1 1.58657
"1081" 1 0.57885
"1086" 3 1.61952666666667
"1087" 1 0.64896
"1090" 2 1.967845
"1091" 1 0.2378
"1095" 1 2.12141
"1097" 1 3.06553
"1099" 2 3.99075
"1101" 1 5.95634
"1104" 1 1.38839
"1105" 1 0.483
"1107" 2 2.60652
"1108" 2 4.530505
"1110" 1 7
"1112" 1 0.27237
"1113" 1 2.19865
"1114" 1 0.174
"1115" 1 1.32838
"1116" 1 1.80232
"1118" 1 0.14698
"1119" 2 2.154265
"1120" 2 1.60928
"1121" 1 0.19843
"1126" 1 0.81065
"1129" 1 3.72007
"1131" 1 1.0313
"1132" 1 1.90524
"1136" 1 0.62765
"1138" 1 1.62064
"1140" 1 5.59254
"1142" 1 0.24882
"1158" 1 0.61262
"1159" 1 0.52534
"1163" 1 6.30739
"1164" 1 0.6574
"1169" 3 5.4421
"1170" 1 8.6668
"1178" 5 0.27941
"1179" 1 0.43361
"1180" 1 0.70325
"1182" 2 0.220425
"1184" 1 0.5216
"1186" 1 0.86239
"1187" 1 4.17
"1189" 1 0.54376
"1190" 1 5
"1193" 1 0.89336
"1194" 4 2.7752275
"1198" 2 0.729445
"1201" 1 1.07091
"1202" 1 1.93385
"1203" 1 2.76178
"1204" 3 1.04094
"1205" 1 3.265
"1206" 1 6.5
"1211" 1 2.59724
"1212" 1 1.31884
"1215" 1 0.86635
"1216" 1 2.22385
"1217" 2 3.889845
"1218" 4 2.4250425
"1219" 2 2.428015
"1223" 6 3.40925166666667
"1224" 1 0.60669
"1229" 2 2.706825
"1231" 1 7.07405
"1232" 3 3.12484
"1234" 6 1.62587
"1235" 2 0.232955
"1239" 1 2.49642
"1240" 1 0.60734
"1246" 3 4.96272
"1248" 2 0.46593
"1251" 5 1.824022
"1252" 1 2.38656
"1253" 2 4.575
"1254" 1 5.2
"1256" 1 0.27939
"1258" 3 4.57972666666667
"1259" 2 0.311835
"1260" 3 0.328846666666667
"1261" 1 4.11372
"1264" 1 0.11434
"1266" 1 1.88683
"1269" 2 0.75166
"1271" 1 0.86354
"1273" 1 0.14151
"1274" 5 2.770676
"1275" 2 2.72036
"1276" 3 3.55465666666667
"1279" 1 0.03982
"1280" 3 3.37781
"1281" 1 1.46923
"1282" 1 0.08206
"1284" 4 2.7948075
"1285" 3 0.37727
"1286" 3 1.27172666666667
"1287" 1 0.44786
"1289" 1 4.12609
"1291" 6 4.01874333333333
"1292" 2 0.64052
"1293" 3 3.97042333333333
"1294" 2 4.459435
"1302" 3 0.180023333333333
"1303" 1 6.14
"1306" 1 0.03753
"1310" 1 0.96454
"1312" 2 2.566445
"1316" 1 1.72761
"1317" 1 0.67101
"1319" 2 3.90485
"1320" 1 0.54251
"1329" 5 2.309816
"1330" 3 3.36624
"1331" 2 1.87752
"1332" 1 0.82856
"1335" 2 3.32939
"1336" 1 1.54114
"1337" 1 5
"1338" 1 4.4
"1340" 3 1.07657333333333
"1341" 1 0.54001
"1342" 1 3
"1343" 1 2.50284
"1350" 1 0.47953
"1352" 6 2.86589833333333
"1353" 1 0.313
"1356" 1 3.50171
"1357" 1 4.1
"1358" 4 1.0744325
"1360" 1 0.15705
"1366" 4 2.6961075
"1367" 2 4.24942
"1368" 3 1.05381
"1369" 2 4
"1376" 5 1.36747
"1377" 1 5.92836
"1378" 1 0.37052
"1380" 1 5.8
"1382" 1 3.80421
"1383" 1 6.9052
"1384" 1 3.78866
"1385" 2 0.28536
"1386" 2 6.34128
"1389" 7 1.88664571428571
"1390" 2 2.757355
"1391" 1 6.25
"1392" 3 1.8823
"1399" 1 3.9
"1400" 4 1.3331225
"1401" 1 4.69736
"1403" 2 4.424
"1405" 2 5.511655
"1410" 5 1.515686
"1412" 5 0.474406
"1413" 2 5.225
"1417" 1 1.04688
"1418" 3 1.61424666666667
"1419" 1 4.14296
"1420" 2 1.4326
"1421" 1 3.22428
"1425" 1 1.56919
